THREONINE-DEG2-PWY,GJA5-553
TRNA-CHARGING-PWY,GJA5-1649
TRNA-CHARGING-PWY,GJA5-1429
TRNA-CHARGING-PWY,GJA5-1662
TRNA-CHARGING-PWY,GJA5-1757
TRNA-CHARGING-PWY,GJA5-933
TRNA-CHARGING-PWY,GJA5-1712
TRNA-CHARGING-PWY,GJA5-10
TRNA-CHARGING-PWY,GJA5-1207
TRNA-CHARGING-PWY,GJA5-1080
TRNA-CHARGING-PWY,GJA5-1079
TRNA-CHARGING-PWY,GJA5-477
TRNA-CHARGING-PWY,GJA5-504
TRNA-CHARGING-PWY,GJA5-1663
TRNA-CHARGING-PWY,GJA5-1599
TRNA-CHARGING-PWY,GJA5-2124
TRNA-CHARGING-PWY,GJA5-1923
TRNA-CHARGING-PWY,GJA5-509
TRNA-CHARGING-PWY,GJA5-1904
TRNA-CHARGING-PWY,GJA5-1868
TRNA-CHARGING-PWY,GJA5-1907
TRNA-CHARGING-PWY,GJA5-1869
TRNA-CHARGING-PWY,GJA5-508
TRNA-CHARGING-PWY,GJA5-1925
TRNA-CHARGING-PWY,GJA5-2227
TRNA-CHARGING-PWY,GJA5-1913
TRNA-CHARGING-PWY,GJA5-1918
TRNA-CHARGING-PWY,GJA5-1872
TRNA-CHARGING-PWY,GJA5-1917
TRNA-CHARGING-PWY,GJA5-1870
TRNA-CHARGING-PWY,GJA5-1911
TRNA-CHARGING-PWY,GJA5-512
TRNA-CHARGING-PWY,GJA5-1920
TRNA-CHARGING-PWY,GJA5-1916
TRNA-CHARGING-PWY,GJA5-963
TRNA-CHARGING-PWY,GJA5-454
TRNA-CHARGING-PWY,GJA5-1865
TRNA-CHARGING-PWY,GJA5-1914
TRNA-CHARGING-PWY,GJA5-507
TRNA-CHARGING-PWY,GJA5-1926
TRNA-CHARGING-PWY,GJA5-1910
TRNA-CHARGING-PWY,GJA5-1908
TRNA-CHARGING-PWY,GJA5-2229
TRNA-CHARGING-PWY,GJA5-1909
TRNA-CHARGING-PWY,GJA5-1915
TRNA-CHARGING-PWY,GJA5-1912
TRNA-CHARGING-PWY,GJA5-1871
TRNA-CHARGING-PWY,GJA5-21
TRNA-CHARGING-PWY,GJA5-2232
TRNA-CHARGING-PWY,GJA5-964
TRNA-CHARGING-PWY,GJA5-1867
TRNA-CHARGING-PWY,GJA5-1919
TRNA-CHARGING-PWY,GJA5-1930
TRNA-CHARGING-PWY,GJA5-513
TRNA-CHARGING-PWY,GJA5-506
TRNA-CHARGING-PWY,GJA5-2230
TRNA-CHARGING-PWY,GJA5-1927
TRNA-CHARGING-PWY,GJA5-1922
TRNA-CHARGING-PWY,GJA5-2125
TRNA-CHARGING-PWY,GJA5-1903
TRNA-CHARGING-PWY,GJA5-510
TRNA-CHARGING-PWY,GJA5-1924
TRNA-CHARGING-PWY,GJA5-515
TRNA-CHARGING-PWY,GJA5-1931
TRNA-CHARGING-PWY,GJA5-20
TRNA-CHARGING-PWY,GJA5-2231
TRNA-CHARGING-PWY,GJA5-1866
TRNA-CHARGING-PWY,GJA5-2228
TRNA-CHARGING-PWY,GJA5-1906
TRNA-CHARGING-PWY,GJA5-1905
TRNA-CHARGING-PWY,GJA5-511
TRNA-CHARGING-PWY,GJA5-1116
TRNA-CHARGING-PWY,GJA5-797
TRNA-CHARGING-PWY,GJA5-1921
TEICHOICACID-PWY,GJA5-2174
TEICHOICACID-PWY,GJA5-642
PWY-7221,GJA5-397
PWY-7221,GJA5-223
PWY-7221,GJA5-522
PWY-7221,GJA5-398
PWY-7221,GJA5-1153
PWY-7221,GJA5-1442
PWY-5921,GJA5-1973
PWY-5921,GJA5-1972
PWY-5921,GJA5-1971
PWY-5921,GJA5-2228
PWY-5921,GJA5-1906
PWY-7211,GJA5-2049
PWY-7211,GJA5-1403
PWY-7211,GJA5-469
PWY-7211,GJA5-761
PWY-7211,GJA5-760
PWY-7211,GJA5-1092
PWY-7211,GJA5-1146
PWY-7211,GJA5-1147
PWY-7211,GJA5-1144
PWY-7211,GJA5-1145
PWY-7211,GJA5-1149
PWY-7211,GJA5-1148
PWY-7211,GJA5-2638
PWY-7211,GJA5-1450
PWY-7211,GJA5-1202
PWY-7211,GJA5-1442
PWY-7211,GJA5-2190
P142-PWY,GJA5-1233
P142-PWY,GJA5-1740
P142-PWY,GJA5-591
PWY-5046,GJA5-1553
PWY-5046,GJA5-1552
PWY-5046,GJA5-1036
PWY-5046,GJA5-1554
PWY-6387,GJA5-2187
PWY-6387,GJA5-2163
PWY-6387,GJA5-767
PWY-6387,GJA5-2145
PWY-6387,GJA5-1770
PWY-6387,GJA5-1126
PWY-6387,GJA5-1091
PWY-6387,GJA5-956
PWY-6387,GJA5-2146
NONOXIPENT-PWY,GJA5-1817
NONOXIPENT-PWY,GJA5-1315
NONOXIPENT-PWY,GJA5-1166
NONOXIPENT-PWY,GJA5-2400
PWY-5084,GJA5-1388
PWY-5084,GJA5-1387
PWY-5084,GJA5-1036
PWY-5084,GJA5-1554
PWY-6385,GJA5-1393
PWY-6385,GJA5-2187
PWY-6385,GJA5-2163
PWY-6385,GJA5-767
PWY-6385,GJA5-2145
PWY-6385,GJA5-1770
PWY-6385,GJA5-1126
PWY-6385,GJA5-1091
PWY-6385,GJA5-956
PWY-6385,GJA5-2146
PWY0-522,GJA5-1568
PWY0-522,GJA5-967
PWY0-522,GJA5-592
PWY0-522,GJA5-313
PWY0-501,GJA5-859
SUCSYN-PWY,GJA5-804
SUCSYN-PWY,GJA5-1717
SUCSYN-PWY,GJA5-803
SUCSYN-PWY,GJA5-2653
SUCSYN-PWY,GJA5-2188
SUCSYN-PWY,GJA5-119
SUCSYN-PWY,GJA5-2553
SUCSYN-PWY,GJA5-2240
SUCSYN-PWY,GJA5-896
PWY-7335,GJA5-2174
